compound_id|flavor_id|flavor_name
15269|70|apricot
15270|27|hyacinth
15270|33|floral
15270|37|balsam
15270|614|mimosa
15271|86|plum
15271|88|raspberry
15271|89|strawberry
15272|44|sweet
15272|59|green
15272|81|fruity
15275|323|bland
15278|44|sweet
15278|62|brandy
15278|81|fruity
15278|249|wine
15279|44|sweet
15279|59|green
15279|249|wine
15279|460|ethereal
15279|472|fermented
15298|172|herb
15298|246|wax
15298|531|herbal
15298|848|waxy
15304|37|balsam
15304|119|balsamic
15304|250|wood
15306|54|woody
15306|250|wood
15308|68|earthy
15308|81|fruity
15308|164|fruit
15308|172|herb
15308|531|herbal
15312|123|bitter
15313|81|fruity
15313|85|pineapple
15313|848|waxy
15317|13|butter
15317|18|fatty
15317|33|floral
15317|81|fruity
15317|249|wine
15323|33|floral
15323|123|bitter
15323|408|clover
15323|531|herbal
15323|651|orchid
15332|59|green
15332|98|nutty
15332|156|ether
15332|531|herbal
15336|21|spicy
15336|229|spice
15345|172|herb
15345|250|wood
15346|54|woody
15346|250|wood
15356|67|musty
15356|68|earthy
15356|121|beet
15356|154|earth
15356|162|fresh
15356|777|soil
15357|44|sweet
15357|97|hazelnut
15357|476|filbert
15357|557|ketonic
15357|624|myrcene
15357|639|nut skin
15357|697|raw
15362|643|odorless
15364|54|woody
15364|250|wood
15392|4|horseradish
15392|95|sulfurous
15392|165|garlic
15392|200|onion
15392|605|metallic
15395|643|odorless
15401|643|odorless
15405|643|odorless
15406|643|odorless
15409|643|odorless
15413|643|odorless
15414|643|odorless
15416|643|odorless
15419|643|odorless
15421|643|odorless
15422|643|odorless
15435|123|bitter
15435|643|odorless
15436|123|bitter
15441|643|odorless
15443|123|bitter
15443|643|odorless
15447|258|acetic
15447|610|mild
15448|643|odorless
15449|643|odorless
15467|54|woody
15467|59|green
15467|162|fresh
15467|210|pine
15467|453|dry
15467|526|hay
15467|704|resinous
15468|54|woody
15468|59|green
15468|210|pine
15468|216|resin
15468|242|turpentine
15468|453|dry
15468|526|hay
15468|704|resinous
15473|33|floral
15473|35|violet
15473|49|orange
15473|54|woody
15473|79|jam
15473|88|raspberry
15473|160|flower
15473|202|orris
15473|222|seaweed
15473|453|dry
15473|684|powdery
15483|33|floral
15483|34|rose
15483|42|honey
15483|69|apple
15483|72|berry
15483|81|fruity
15483|86|plum
15483|102|tobacco
15483|322|blackcurrant
15484|34|rose
15484|42|honey
15484|44|sweet
15484|69|apple
15484|102|tobacco
15484|108|smoky
15487|21|spicy
15487|54|woody
15487|68|earthy
15487|154|earth
15487|229|spice
